repo,id,event_at_utc,month_asia_shanghai,title,author,branch_or_target,merge_or_commit_sha,url,previous_url_or_sha_match
sgl-project/sglang,v0.5.18,2026-08-22T00:09:15Z,2026-08,v0.5.18,Fridge003,main,,https://github.com/sgl-project/sglang/releases/tag/v0.5.18,false
sgl-project/sglang,v0.5.17,2026-08-08T00:19:16Z,2026-08,v0.5.17,Fridge003,main,,https://github.com/sgl-project/sglang/releases/tag/v0.5.17,false
sgl-project/sglang,v0.5.16,2026-07-25T00:13:18Z,2026-07,v0.5.16,Qiaolin-Yu,main,,https://github.com/sgl-project/sglang/releases/tag/v0.5.16,false
sgl-project/sglang,v0.5.15.post1,2026-07-14T08:43:33Z,2026-07,v0.5.15.post1,Fridge003,main,,https://github.com/sgl-project/sglang/releases/tag/v0.5.15.post1,true
sgl-project/sglang,v0.5.15,2026-07-10T22:58:33Z,2026-07,v0.5.15,Fridge003,main,,https://github.com/sgl-project/sglang/releases/tag/v0.5.15,true
verl-project/verl,v0.9.1,2026-09-20T07:24:43Z,2026-09,v0.9.1,wuxibin89,release/v0.9.1,,https://github.com/verl-project/verl/releases/tag/v0.9.1,true
verl-project/verl,v0.9.0,2026-08-14T07:55:09Z,2026-08,v0.9.0,wuxibin89,release/v0.9.0,,https://github.com/verl-project/verl/releases/tag/v0.9.0,true
vllm-project/vllm,v0.30.0,2026-09-22T05:20:54Z,2026-09,v0.30.0,khluu,main,,https://github.com/vllm-project/vllm/releases/tag/v0.30.0,true
vllm-project/vllm,v0.29.0,2026-09-09T08:54:49Z,2026-09,v0.29.0,khluu,main,,https://github.com/vllm-project/vllm/releases/tag/v0.29.0,true
vllm-project/vllm,v0.28.0,2026-08-26T09:46:30Z,2026-08,v0.28.0,khluu,main,,https://github.com/vllm-project/vllm/releases/tag/v0.28.0,false
vllm-project/vllm,v0.27.1,2026-08-11T10:47:49Z,2026-08,v0.27.1,khluu,main,,https://github.com/vllm-project/vllm/releases/tag/v0.27.1,false
vllm-project/vllm,v0.27.0,2026-08-10T21:18:11Z,2026-08,v0.27.0,khluu,main,,https://github.com/vllm-project/vllm/releases/tag/v0.27.0,false
vllm-project/vllm,v0.26.0,2026-07-27T01:06:58Z,2026-07,v0.26.0,khluu,main,,https://github.com/vllm-project/vllm/releases/tag/v0.26.0,false
vllm-project/vllm,v0.25.1,2026-07-14T08:51:20Z,2026-07,v0.25.1,khluu,main,,https://github.com/vllm-project/vllm/releases/tag/v0.25.1,true
vllm-project/vllm,v0.25.0,2026-07-11T20:06:44Z,2026-07,v0.25.0,khluu,main,,https://github.com/vllm-project/vllm/releases/tag/v0.25.0,true
